"","Top100","Top50","Top25","Top10","Top5","Top1","Mean_Rank"
"Lovett or Leave It","79","70","32","13","13","0","28"
"Pod Save America","146","146","146","123","83","16","6"
"Pod Save the People","39","29","23","22","13","0","25"
"Pod Save the World","124","105","52","15","10","0","30"
"With Friends Like These","89","44","27","14","8","0","49"
