"","Top100","Top50","Top25","Top10","Top5","Top1","Mean_Rank"
"Lovett or Leave It","60","52","21","13","13","0","28"
"Pod Save America","127","127","127","104","79","16","6"
"Pod Save the People","20","20","20","20","13","0","4"
"Pod Save the World","105","98","52","15","10","0","26"
"With Friends Like These","76","39","27","14","8","0","46"
