"","Top100","Top50","Top25","Top10","Top5","Top1","Mean_Rank"
"Lovett or Leave It","100%","86.67%","35%","21.67%","21.67%","0%","28"
"Pod Save America","100%","100%","100%","81.89%","62.2%","12.6%","6"
"Pod Save the People","100%","100%","100%","100%","65%","0%","4"
"Pod Save the World","100%","93.33%","49.52%","14.29%","9.52%","0%","26"
"With Friends Like These","90.48%","46.43%","32.14%","16.67%","9.52%","0%","46"
